,,,,,,,,
,,,FECHA,,4/29/2023,,,
,,BRAVOS,12,PIRATAS,8,PREPARATORIO,A,8:30 am,BOYACA II
,,PIRATAS A,13,BRAVOS A,9,INFANTIL,A,20 md,BOYACA II
,,ANGELES,18,BRAVOS B,14,COMPOTA,B,8:30 AM,FUNDACION
,,COCODRILOS,15,CAPITANES,4,PREPARATORIO,A,20 md,FUNDACION
,,COCODRILOS,11,GIGANTES,2,INFANTIL,A,20 md,FUNDACION
,,GIGANTES,5,ESCORPIONES,2,PREINFANTIL,A,9:00 AM,BOYACA V
,,TIGRITOS A,14,COCODRILOS B,9,PREINFANTIL,B,8:30 AM,RIVERO VILLAROEL
,,TIGRITOS B,4,MELLIZOS B,17,PREINFANTIL,B,20 md,RIVERO VILLAROEL
,,BRAVOS,5,MELLIZOS A,12,PREINFANTIL,B,20 md,RIVERO VILLAROEL
,,TIGRITOS A,12,JUVENCIO A,9,PREPARATORIO,B,20 md,RIVERO VILLAROEL
,,TIGRITOS B,18,BRAVOS A,8,COMPOTA,A,4:00 pm,RIVERO VILLAROEL
