,,,,,,,,,
,,NULO,,FECHA,,5/5/2023,,,
,VIERNES,COCODRILOS B,10,MELLIZOS A,8,PREINFANTIL,B,1:30 pm,ROGELIO CARABALLO
,,TIGRITOS A,3,MELLIZOS B,10,PREINFANTIL,B,20 md,ROGELIO CARABALLO
,,PIRATAS,13,TIGRITOS B,14,PREJUNIOR,SEMIFINAL,1:30 pm,FUNDACION
,,TIGRITOS C,12,ESCORPIONES,0,PREINFANTIL,A,20 md,FUNDACION
,,GIGANTES,11,BRAVOS,15,PREJUNIOR,SEMIFINAL,2:00 pm,RIVERO VILLAROEL
,,COCODRILOS A,16,GIGANTES,6,PREINFANTIL,A,20 md,RIVERO VILLAROEL
