,,,,,,,,,
,,NULO,,FECHA,,5/7/2023,,,
,DOMINGO,JUVENCIO A,7,TIGRITOS C,0,PREINFANTIL,A,8:30 AM,FUNDACION
,,ESCORPIONES,18,COCODRILOS A,3,PREINFANTIL,A,20 md,FUNDACION
,,GIGANTES,3,CAPITANES B,13,PREINFANTIL,A,8:30 am,RIVERO VILLAROEL
,,PIRATAS,9,GIGANTES,17,PREJUNIOR,SEMIFINAL,20 md,RIVERO VILLAROEL
,,BRAVOS,4,TIGRITOS B,12,PREJUNIOR,SEMIFINAL,20 md,RIVERO VILLAROEL
