JUGADOR,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Emiliano Patiño ,14,30,18,21,0,0,5,0,1,29,5,2,0,30,700
Santiago Muñoz ,11,24,2,13,0,0,3,0,1,19,10,9,0,24,542
